All,appliances,All 4000
1904.6326666667,160.466,1397.8955351682
121.479,121.479,89.1588990826
20.319,20.319,14.9130275229
1471.953,1471.953,1080.3324770642
277.3668691368,208.652,203.5720140454
208.652,208.652,153.1390825688
1954.4856666667,210.319,1434.4848929664
216.982,216.982,159.2528440367
197.1540519684,148.076,144.7002216282
241.986,241.986,177.6044036697
347.3142348299,216.718,254.9095301504
1909.8556666667,165.689,1401.7289296636
1962.3276666667,218.161,1440.2404892966
140.6053761828,128.145,103.1966063727
86.986,86.986,63.8429357798
180.322,180.322,132.3464220183
208.652,208.652,153.1390825688
123.649,123.649,90.751559633
213.829,213.829,156.9387155963
204.8038428192,144.182,150.3147470233
137.516,137.516,100.9291743119
94.0890400081,70.849,69.0561761528
1911.3286666667,167.162,1402.8100305811
365.319,365.319,268.1240366972
160.319,160.319,117.6653211009
130.319,130.319,95.6469724771
56.986,56.986,41.824587156
20.319,20.319,14.9130275229
190.316,190.316,139.6814678899
175.319,175.319,128.6744954128
308.112,308.112,226.1372477064
336.088,336.088,246.6700917431
1952.1126666667,207.946,1432.7432415902
283.699,283.699,208.2194495413
386.519,386.519,283.6836697248
358.8645362333,292.589,263.3868155841
220.382,220.382,161.7482568807
251.103,251.103,184.2957798165
294.809,294.809,216.3735779817
2290.9856666667,546.819,1681.4573700306
569.0272737616,552.529,417.6346963388
759.0314877309,610.969,557.0873304447
2342.3002953272,521.882,1719.119482809
2335.8656666667,591.699,1714.3968195719
502.189,502.189,368.5790825688
401.099,401.099,294.384587156
246.003,246.003,180.5526605505
382.551,382.551,280.7713761468
433.703,433.703,318.3141284404
259.036,259.036,190.1181651376
123.649,123.649,90.751559633
233.649,233.649,171.4855045872
117.186,117.186,86.0080733945
142.669,142.669,104.7111926606
331.494,331.494,243.2983486239
1232.9209,1232.9209,904.8960733945
4092.7903044027,2008.689,3003.8827922222
2069.6885123806,283.652,1519.0374402794
1957.8156666667,213.649,1436.9289296636
336.989,336.989,247.3313761468
393.656,393.656,288.9218348624
291.986,291.986,214.3016513761
280.869,280.869,206.1423853211
405.316,405.316,297.4796330275
181.989,181.989,133.5699082569
126.985,126.985,93.2
86.986,86.986,63.8429357798
1849.4856666667,105.319,1357.4206727829
1919.4856666667,175.319,1408.7968195719
1849.7186428125,156.982,1357.5916644496
682.4893333333,333.656,500.9096024465
559.1493333333,210.316,410.3848318043
86.986,86.986,63.8429357798
175.319,175.319,128.6744954128
175.319,175.319,128.6744954128
93.652,93.652,68.735412844
93.652,93.652,68.735412844
20.319,20.319,14.9130275229
180.322,180.322,132.3464220183
156.982,156.982,115.216146789
175.319,175.319,128.6744954128
181.989,181.989,133.5699082569
263.649,263.649,193.503853211
20.319,20.319,14.9130275229
171.4852324497,150.319,125.860721064
316.986,316.986,232.6502752294
71.986,71.986,52.8337614679
20.319,20.319,14.9130275229
20.319,20.319,14.9130275229
433.649,433.649,318.2744954128
315.316,315.316,231.424587156
162.0750695446,105.319,118.9541794823
53.652,53.652,39.3776146789
340.319,340.319,249.775412844
290.319,290.319,213.0781651376
2310.3990583647,512.349,1695.7057309099
2095.0286666667,350.862,1537.6357186544
195.859,195.859,143.7497247706
85.4146434215,65.859,62.6896465479
65.859,65.859,48.3368807339
84.4935630043,65.859,62.0136242234
417.166,417.166,306.1768807339
1885.319,1885.319,1383.7203669725
361.982,361.982,265.6748623853
154.827,154.827,113.6344954128
100.319,100.319,73.6286238532
1327.0167998666,170.319,973.9572843057
2651.1526666667,906.986,1945.8001223242
3656.1856666667,1912.019,2683.4390214067
2126.1556666667,381.989,1560.4812232416
1844.4856666667,100.319,1353.7509480122
1844.4856666667,100.319,1353.7509480122
2031.7556666667,287.589,1491.1968195719
3771.5105281872,340.919,2768.0811216053
2247.5564331665,292.589,1649.5827032415
1885.3843753318,130.319,1383.7683488674
1927.8156666667,183.649,1414.9105810398
1764.4856666667,20.319,1295.035351682
1919.4856666667,175.319,1408.7968195719
1867.8156666667,123.649,1370.8738837921
1837.8186666667,93.652,1348.8577370031
1874.4856666667,130.319,1375.7692966361
120.319,120.319,88.3075229358
